building_type,building_period,location_id,structure_type,design_U_value_W_m2K,effective_thermal_mass_J_m2K,linear_thermal_bridges_W_mK,external_U_value_to_ambient_air_W_m2K,external_U_value_to_ground_W_m2K,internal_U_value_to_structure_W_m2K,total_U_value_W_m2K
SFH,1981-2001,HR,exterior_wall,0.52,848903.1588007157,0.0,0.5999560213233238,0.0,3.9018591211106464,0.52
SFH,1981-2001,HR,light_exterior_wall,0.52,848903.1588007157,0.0,0.5999560213233238,0.0,3.9018591211106464,0.52
SFH,1981-2001,HR,light_partition_wall,0.52,617925.4098350531,0.0,1.0162079808345934,0.0,3.4645924400816246,0.7857405278564573
SFH,1981-2001,HR,partition_wall,0.52,617925.4098350531,0.0,1.0162079808345934,0.0,3.4645924400816246,0.7857405278564573
SFH,1981-2001,HR,roof,0.30598540145985403,1262536.1792916516,0.0,0.33498739795475035,0.0,3.5342826644784275,0.30598540145985403
SFH,1981-2001,HR,separating_floor,0.6295399515738499,625239.8021934344,0.0,1.7451134192115134,0.0,3.7452971946989635,1.1904334398678489
SFH,1981-2001,SI,base_floor,0.6295399515738499,778372.6294953922,0.0,0.0,0.26574659184384086,3.877102290004912,0.2487000489718493
SFH,1981-2001,SI,exterior_wall,0.52,848903.1588007157,0.0,0.5999560213233238,0.0,3.9018591211106464,0.52
SFH,1981-2001,SI,light_exterior_wall,0.52,848903.1588007157,0.0,0.5999560213233238,0.0,3.9018591211106464,0.52
SFH,1981-2001,SI,light_partition_wall,0.52,617925.4098350531,0.0,1.0162079808345934,0.0,3.4645924400816246,0.7857405278564573
SFH,1981-2001,SI,partition_wall,0.52,617925.4098350531,0.0,1.0162079808345934,0.0,3.4645924400816246,0.7857405278564573
SFH,1981-2001,SI,roof,0.30598540145985403,1262536.1792916516,0.0,0.33498739795475035,0.0,3.5342826644784275,0.30598540145985403
SFH,1981-2001,SI,separating_floor,0.6295399515738499,625239.8021934344,0.0,1.7451134192115134,0.0,3.7452971946989635,1.1904334398678489
SFH,1981-2006,CY,base_floor,1.97,775227.1367858036,0.0,0.0,0.38583101473655135,4.907700356244239,0.35770884798247865
SFH,1981-2006,CY,exterior_wall,1.389,659812.1384401057,0.0,1.869339997819776,0.0,5.405573695209704,1.3889999999999998
SFH,1981-2006,CY,light_exterior_wall,1.389,659812.1384401057,0.0,1.869339997819776,0.0,5.405573695209704,1.3889999999999998
SFH,1981-2006,CY,light_partition_wall,1.389,532444.1857573157,0.0,1.2945900767666754,0.0,3.6036410005616903,0.9524331959653587
SFH,1981-2006,CY,partition_wall,1.389,532444.1857573157,0.0,1.2945900767666754,0.0,3.6036410005616903,0.9524331959653587
SFH,1981-2006,CY,roof,3.4200000000000004,465789.5083330638,0.0,5.644682115270354,0.0,8.677560133969349,3.420000000000001
SFH,1981-2006,CY,separating_floor,1.97,623715.3560501033,0.0,1.752131240855787,0.0,3.7469924204239615,1.1938670383613115
SFH,1982-1989,FR,base_floor,2.5,610288.7277637586,0.0,0.0,0.4050611491919334,5.181347150259067,0.375690840795246
SFH,1982-1989,FR,exterior_wall,0.41999999999999993,1195166.3730221551,0.0,0.4743183832253383,0.0,3.667519339230128,0.41999999999999993
SFH,1982-1989,FR,light_exterior_wall,0.41999999999999993,1195166.3730221551,0.0,0.4743183832253383,0.0,3.667519339230128,0.41999999999999993
SFH,1982-1989,FR,light_partition_wall,0.41999999999999993,719694.1060722201,0.0,1.1625086089135421,0.0,3.5446381142922387,0.8754076653343464
SFH,1982-1989,FR,partition_wall,0.41999999999999993,719694.1060722201,0.0,1.1625086089135421,0.0,3.5446381142922387,0.8754076653343464
SFH,1982-1989,FR,roof,0.32,1282822.7190400155,0.0,0.35106797446622684,0.0,3.6159985888786,0.32
SFH,1982-1989,FR,separating_floor,2.5,527669.087893791,0.0,2.134471718249733,0.0,3.8240917782026767,1.36986301369863
SFH,1983-1993,IE,base_floor,1.22,990847.5388356828,0.0,0.0,0.34114972444626557,4.255912928207633,0.31583287686695866
SFH,1983-1993,IE,exterior_wall,0.6,627221.8891559567,0.0,0.6963693215178122,0.0,4.335628666156593,0.6000000000000001
SFH,1983-1993,IE,light_exterior_wall,0.6,627221.8891559567,0.0,0.6963693215178122,0.0,4.335628666156593,0.6000000000000001
SFH,1983-1993,IE,light_partition_wall,0.6,514663.2078981847,0.0,1.3505104134945123,0.0,3.6256353748267163,0.9839861084314105
